Category,Question,Description
Buying,How much house can I afford?,"Guidelines for determining your home budget based on income, debt ratios, and lender recommendations (28/36 rule)"
Buying,What is the difference between pre-qualification and pre-approval?,"Explanation of informal pre-qualification vs formal pre-approval process with lender verification"
Buying,How much should I offer on a house?,"Factors to consider when making an offer including comps, market conditions, property condition, and time on market"
Buying,What is earnest money?,"Information about good faith deposits (1-3% of purchase price) held in escrow to demonstrate serious buying intent"
Buying,What are contingencies?,"Overview of common purchase contingencies: financing, inspection, appraisal, and sale contingencies"
Buying,Do I need a home inspection?,"Importance of professional home inspections ($300-500) to identify potential issues before purchase"
Buying,What is a buyer's agent and do I need one?,"Benefits of buyer representation including MLS access, negotiation expertise, and guidance through the process"
Buying,What closing costs should I expect?,"Breakdown of typical closing costs (2-5% of purchase price) including fees, insurance, and taxes"
Buying,Should I buy a new construction or existing home?,"Comparison of new construction benefits (modern, warranties) vs existing homes (established, ready to move)"
Buying,What is PMI and can I avoid it?,"Private Mortgage Insurance requirements for less than 20% down payment and strategies to avoid it"
Selling,When is the best time to sell my house?,"Market timing considerations with spring as peak season, but depends on local conditions and personal circumstances"
Selling,How do I price my home correctly?,"Pricing strategies using comparative market analysis, market conditions, and property features"
Selling,What repairs should I make before listing?,"Priority repairs including essential fixes, curb appeal improvements, cleaning, decluttering, and cosmetic updates"
Selling,Should I stage my home?,"Benefits of home staging for faster sales and higher prices, with options from professional to DIY staging"
Selling,How long will it take to sell my home?,"Average selling timeline by market type: days to weeks in hot markets, 30-90+ days in balanced/buyer's markets"
Selling,What is a listing agent's commission?,"Typical 5-6% total commission split between agents, covering marketing, photography, and transaction management"
Selling,Should I be present during showings?,"Recommendation to leave during showings so buyers feel comfortable and can speak freely with their agent"
Selling,What happens if I receive multiple offers?,"How to evaluate and respond to multiple offers considering price, contingencies, timeline, and buyer qualifications"
Selling,Can I sell my house while I still owe money on it?,"Process of selling with existing mortgage, paying off loan at closing, and options if underwater on mortgage"
Selling,What is a seller's disclosure?,"Legal requirement to disclose known material defects including structural issues, damage, hazards, and disputes"
Financing,What types of mortgages are available?,"Overview of mortgage types: conventional, FHA, VA, USDA, jumbo, fixed-rate, and adjustable-rate loans"
Financing,What credit score do I need to buy a house?,"Minimum credit score requirements by loan type ranging from 500-640, with higher scores getting better rates"
Financing,How much should I put down?,"Down payment options from 0% (VA/USDA) to 20%+, discussing PMI implications and cash reserves"
Financing,What is the difference between interest rate and APR?,"Explanation of interest rate vs APR which includes all loan costs expressed as annual percentage"
Financing,Should I choose a 15-year or 30-year mortgage?,"Comparison of mortgage terms: 30-year (lower payments, more interest) vs 15-year (higher payments, less interest)"
Financing,What documents do I need for a mortgage application?,"Required documentation including ID, income verification, employment, assets, debts, and additional self-employed docs"
Financing,What is a rate lock?,"Guarantee from lender that interest rate won't change between approval and closing, typically 30-60 days"
Financing,Can I get a mortgage if I'm self-employed?,"Requirements for self-employed borrowers including 2 years tax returns, P&L statements, and CPA documentation"
Financing,What are discount points?,"Upfront fees (1% of loan = 1 point) paid to reduce interest rate by approximately 0.25% per point"
Financing,What is debt-to-income ratio and why does it matter?,"DTI calculation and lender requirements: front-end ≤28%, back-end ≤36-43% for mortgage qualification"
Legal & Paperwork,What is title insurance and do I need it?,"Protection against title defects, liens, and ownership issues with lender's and owner's policy options"
Legal & Paperwork,What happens at closing?,"Final step where ownership transfers, documents are signed, costs paid, and keys received (1-2 hour process)"
Legal & Paperwork,What is escrow?,"Dual meaning: neutral third party holding funds during transaction, and account for paying taxes/insurance"
Legal & Paperwork,Do I need a real estate attorney?,"State-by-state requirements and benefits of legal representation for contract review and complex situations"
Legal & Paperwork,What is a home warranty?,"Service contract ($300-600/year) covering repair/replacement of major systems and appliances for set period"
Legal & Paperwork,What is the difference between a deed and a title?,"Title is legal ownership right (concept), deed is physical document transferring title between parties"
