Date,Description,Amount
2023-01-05,Wells Fargo Home Mortgage Payment,-2450.00
2023-01-08,Whole Foods Market,-156.32
2023-01-10,Starbucks Coffee,-5.75
2023-01-12,Home Depot - Plumbing Supplies,-234.56
2023-01-15,County Tax Collector Property Tax,-1850.00
2023-01-18,State Farm Property Insurance,-145.00
2023-01-20,Amazon.com - Personal Shopping,-89.99
2023-01-22,Joe's Handyman Service,-450.00
2023-01-25,PG&E Electric Bill - Rental Property,-98.45
2023-01-28,Walmart Groceries,-112.34
2023-02-01,ABC Property Management Fee,-200.00
2023-02-03,Netflix Subscription,-15.99
2023-02-05,Wells Fargo Home Mortgage Payment,-2450.00
2023-02-08,Ace Hardware - Door Repair,-67.89
2023-02-10,Safeway Groceries,-145.23
2023-02-12,HOA Monthly Dues,-125.00
2023-02-15,Chevron Gas Station,-45.00
2023-02-18,Target Personal Shopping,-78.45
2023-02-20,Water District Utility Bill,-56.78
2023-02-22,Johnson CPA Tax Preparation,-350.00
2023-02-25,Lowes - Paint and Supplies,-189.99
2023-02-28,AT&T Cell Phone,-85.00
2023-03-01,Zillow Rental Advertising,-99.00
2023-03-05,Wells Fargo Home Mortgage Payment,-2450.00
2023-03-08,City Trash Collection Service,-35.50
2023-03-10,Starbucks Coffee,-6.25
2023-03-12,Professional Cleaning Service,-180.00
2023-03-15,County Tax Collector Property Tax,-1850.00
2023-03-18,McDonald's,-12.45
2023-03-20,Roofing Experts LLC,-1250.00
2023-03-22,Comcast Internet,-79.99
2023-03-25,Landscaping Services,-120.00
2023-03-28,Costco Groceries,-234.56
2024-01-05,Wells Fargo Home Mortgage Payment,-2450.00
2024-01-08,Whole Foods Market,-167.43
2024-01-10,HVAC Repair Service,-485.00
2024-01-12,Home Depot - Maintenance Supplies,-156.78
2024-01-15,County Tax Collector Property Tax,-1950.00
2024-01-18,State Farm Property Insurance,-155.00
2024-01-20,Amazon Prime Subscription,-14.99
2024-01-22,Smith & Associates Legal Fees,-500.00
2024-01-25,PG&E Electric Bill - Rental Property,-102.34
2024-01-28,Trader Joe's Groceries,-98.76
2024-02-01,ABC Property Management Fee,-200.00
2024-02-03,Spotify Premium,-9.99
2024-02-05,Wells Fargo Home Mortgage Payment,-2450.00
2024-02-08,Locksmith Service - Rental Property,-145.00
2024-02-10,Safeway Groceries,-134.56
2024-02-12,HOA Monthly Dues,-130.00
2024-02-15,Shell Gas Station,-52.00
2024-02-18,Nordstrom Shopping,-156.89
2024-02-20,Water and Sewer Utility,-61.23
2024-02-22,Appliance Repair Service,-275.00
2024-02-25,CVS Pharmacy,-45.67
2024-02-28,Verizon Wireless,-95.00
